Publication Years	Record Count	% of 603
2018	53	8.789
2019	50	8.292
2021	42	6.965
2022	41	6.799
2015	39	6.468
2020	38	6.302
2017	36	5.970
2016	32	5.307
2014	27	4.478
2007	26	4.312
2012	24	3.980
2004	22	3.648
2009	22	3.648
2011	22	3.648
2005	18	2.985
2010	18	2.985
2013	18	2.985
2006	15	2.488
2008	13	2.156
2002	9	1.493
2003	7	1.161
1998	6	0.995
2000	6	0.995
1997	4	0.663
1999	4	0.663
2001	4	0.663
1991	2	0.332
1974	1	0.166
1993	1	0.166
1994	1	0.166
1996	1	0.166
2023	1	0.166
