Publication Years	Record Count	% of 1.522
2018	125	8.213
2019	111	7.293
2017	103	6.767
2020	97	6.373
2016	93	6.110
2013	91	5.979
2014	87	5.716
2015	82	5.388
2011	77	5.059
2012	77	5.059
2021	77	5.059
2008	62	4.074
2010	62	4.074
2022	60	3.942
2009	58	3.811
2007	45	2.957
2006	35	2.300
2004	23	1.511
2002	22	1.445
1999	21	1.380
2000	21	1.380
2003	18	1.183
2005	18	1.183
2001	15	0.986
1997	14	0.920
1998	12	0.788
1995	4	0.263
1993	3	0.197
1994	3	0.197
1992	2	0.131
1996	2	0.131
1978	1	0.066
1991	1	0.066
