Publication Years	Record Count	% of 2.012
2017	165	8.201
2018	158	7.853
2013	146	7.256
2022	140	6.958
2021	139	6.909
2014	137	6.809
2012	132	6.561
2016	123	6.113
2020	121	6.014
2011	118	5.865
2015	111	5.517
2019	103	5.119
2010	78	3.877
2009	75	3.728
2007	50	2.485
2008	40	1.988
2006	31	1.541
2003	24	1.193
2004	24	1.193
2002	21	1.044
2005	15	0.746
2023	15	0.746
1999	13	0.646
2000	13	0.646
2001	10	0.497
1997	6	0.298
1998	4	0.199
