Publication Years	Record Count	% of 807
2014	60	7.435
2021	59	7.311
2016	51	6.320
2015	49	6.072
2017	49	6.072
2020	45	5.576
2013	43	5.328
2018	43	5.328
2022	43	5.328
2019	42	5.204
2006	41	5.081
2012	40	4.957
2011	33	4.089
2010	30	3.717
2009	28	3.470
2007	26	3.222
2008	26	3.222
2003	23	2.850
2004	23	2.850
2005	23	2.850
2002	14	1.735
2001	9	1.115
2000	6	0.743
2023	1	0.124
