Publication Years	Record Count	% of 400
2018	47	11.750
2019	41	10.250
2015	32	8.000
2017	28	7.000
2016	27	6.750
2021	25	6.250
2020	23	5.750
2009	19	4.750
2022	18	4.500
2007	17	4.250
2012	17	4.250
2014	17	4.250
2011	15	3.750
2013	11	2.750
2004	10	2.500
2010	10	2.500
2005	9	2.250
2006	7	1.750
2002	5	1.250
2008	5	1.250
1997	3	0.750
1998	3	0.750
2000	3	0.750
2003	3	0.750
1999	2	0.500
2001	2	0.500
2023	1	0.250
