Publication Years	Record Count	% of 811
2020	104	12.824
2021	102	12.577
2018	74	9.125
2015	67	8.261
2016	65	8.015
2019	65	8.015
2017	63	7.768
2022	55	6.782
2014	48	5.919
2013	34	4.192
2012	28	3.453
2009	17	2.096
2011	16	1.973
2006	11	1.356
2007	10	1.233
2010	10	1.233
2008	8	0.986
2005	6	0.740
1998	4	0.493
2003	4	0.493
1993	3	0.370
1995	3	0.370
2004	3	0.370
1997	2	0.247
2001	2	0.247
2023	2	0.247
1989	1	0.123
1994	1	0.123
1996	1	0.123
1999	1	0.123
2002	1	0.123
