Publication Years	Record Count	% of 635
2016	48	7.559
2014	47	7.402
2017	47	7.402
2015	42	6.614
2019	40	6.299
2013	39	6.142
2018	39	6.142
2021	36	5.669
2012	34	5.354
2020	34	5.354
2011	29	4.567
2006	27	4.252
2009	24	3.780
2010	23	3.622
2003	22	3.465
2008	19	2.992
2007	17	2.677
2005	16	2.520
2004	15	2.362
2022	12	1.890
2002	11	1.732
2001	9	1.417
2000	5	0.787
