Publication Years	Record Count	% of 632
2021	56	8.861
2020	53	8.386
2019	52	8.228
2016	45	7.120
2022	45	7.120
2015	43	6.804
2017	41	6.487
2014	38	6.013
2013	28	4.430
2018	27	4.272
2011	23	3.639
2010	22	3.481
2012	22	3.481
2003	18	2.848
2007	15	2.373
2008	15	2.373
2004	14	2.215
2005	14	2.215
2006	13	2.057
2009	12	1.899
2000	7	1.108
1998	6	0.949
1999	6	0.949
2001	6	0.949
2023	5	0.791
2002	4	0.633
1997	2	0.316
