Publication Years	Record Count	% of 615
2022	72	11.707
2021	71	11.545
2019	55	8.943
2020	54	8.780
2016	49	7.967
2015	48	7.805
2017	43	6.992
2018	36	5.854
2014	31	5.041
2012	21	3.415
2011	18	2.927
2013	18	2.927
2008	14	2.276
2009	14	2.276
2007	12	1.951
2005	10	1.626
2010	8	1.301
2006	7	1.138
2001	6	0.976
2002	5	0.813
2004	5	0.813
2003	4	0.650
2023	4	0.650
1999	3	0.488
1992	2	0.325
1998	2	0.325
2000	2	0.325
1995	1	0.163
