Publication Years	Record Count	% of 311
2021	31	9.968
2020	26	8.360
2016	25	8.039
2014	23	7.395
2015	23	7.395
2019	23	7.395
2018	22	7.074
2022	21	6.752
2012	17	5.466
2017	17	5.466
2009	13	4.180
2013	12	3.859
2011	10	3.215
2006	8	2.572
2010	8	2.572
2008	7	2.251
2023	6	1.929
2002	4	1.286
2007	4	1.286
2005	3	0.965
2001	2	0.643
2003	2	0.643
2004	2	0.643
1997	1	0.322
2000	1	0.322
