Publication Years	Record Count	% of 115
2016	16	13.913
2021	15	13.043
2019	14	12.174
2020	8	6.957
2022	8	6.957
2012	7	6.087
2018	7	6.087
2009	6	5.217
2014	6	5.217
2015	5	4.348
2017	5	4.348
2011	4	3.478
2013	4	3.478
2023	3	2.609
2008	2	1.739
1997	1	0.870
2002	1	0.870
2005	1	0.870
2006	1	0.870
2007	1	0.870
