Publication Years	Record Count	% of 371
2014	35	9.434
2020	32	8.625
2017	29	7.817
2018	27	7.278
2021	27	7.278
2019	25	6.739
2012	23	6.199
2015	22	5.930
2016	21	5.660
2013	20	5.391
2022	18	4.852
2010	14	3.774
2008	12	3.235
2011	11	2.965
2007	10	2.695
2009	10	2.695
1997	7	1.887
2006	7	1.887
2004	4	1.078
2002	3	0.809
1995	2	0.539
1998	2	0.539
2001	2	0.539
2005	2	0.539
2023	2	0.539
1992	1	0.270
1993	1	0.270
1994	1	0.270
2000	1	0.270
