Publication Years	Record Count	% of 253
2018	24	9.486
2017	19	7.510
2019	19	7.510
2020	16	6.324
2022	16	6.324
2021	15	5.929
2010	14	5.534
2015	13	5.138
2013	12	4.743
2009	11	4.348
2012	11	4.348
2016	11	4.348
2008	10	3.953
2007	9	3.557
2014	9	3.557
2002	6	2.372
2011	6	2.372
1999	5	1.976
2000	5	1.976
2005	5	1.976
2006	5	1.976
1992	2	0.791
1997	2	0.791
2001	2	0.791
2004	2	0.791
1991	1	0.395
1998	1	0.395
2003	1	0.395
2023	1	0.395
